C:\ TYPE:NTFS  FREE:4469.52 MB TOTAL:10001.40 MB,\\IPDDFZ1847ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4501.48 MB TOTAL:10010.02 MB,\\IPDAEZ1947ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4506.70 MB TOTAL:10001.40 MB,\\IPDDFZ1922ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4581.89 MB TOTAL:10001.40 MB,\\IPDDFZ0211ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4629.10 MB TOTAL:10001.40 MB,\\IPDMBZ0219ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4639.36 MB TOTAL:10001.40 MB,\\IPDDFZ1929ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4675.39 MB TOTAL:10001.40 MB,\\IPDDFZ1972ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4701.68 MB TOTAL:10001.40 MB,\\IPDMCZ0074ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4712.58 MB TOTAL:10001.40 MB,\\IPDDFZ1947ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4754.20 MB TOTAL:10001.40 MB,\\IPDDFZ2031ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4779.19 MB TOTAL:10001.40 MB,\\IPDMBZ0243ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4784.68 MB TOTAL:10001.40 MB,\\IPDDFZ1892ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4792.26 MB TOTAL:10001.40 MB,\\IPDDFZ1657ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4802.68 MB TOTAL:10001.40 MB,\\IPDMBZ0343ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4821.57 MB TOTAL:17355.92 MB,\\IPSWAX0002ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4832.53 MB TOTAL:10001.40 MB,\\IPDMBZ0267ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4841.04 MB TOTAL:10001.40 MB,\\IPDAEZ1783ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4849.30 MB TOTAL:10001.40 MB,\\IPDMCZ0121ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4879.70 MB TOTAL:10001.40 MB,\\IPDDFZ1943ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4883.76 MB TOTAL:10001.40 MB,\\IPDMBZ0057ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4895.19 MB TOTAL:10000.02 MB,\\IPDDFZ1629ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:4920.45 MB TOTAL:10001.40 MB,\\IPDMBZ0011ATL2,Win2K3-
